trial_id,x1,x2,objective
000000,0.0,0.0,[418.9829]
000001,-125.45988115263754,450.71430640991616,[-14.712941562039589]
000002,231.99394181140508,98.65848419703661,[360.5335088329936]
000003,26.633515164691886,137.3431976517382,[545.8963357671269]
000004,53.26703032938377,274.6863953034764,[582.914432792269]
000005,-62.72994057631877,225.35715320495808,[337.075931907091]
000006,-241.45685205834008,401.38506431139785,[87.72546840939799]
000007,-123.09415359090379,325.70341928280754,[530.6607890908582]
000008,-183.4583666054888,426.049685360657,[155.44842810393686]
000009,-94.09491086447815,338.0357298074371,[544.6113372954242]
000010,-124.27701737177065,388.20886284636185,[3.60742102472949]
000011,-66.27853191891938,412.873483895621,[71.7803142836774]
000012,-95.57349059056173,416.16753426188,[-29.996841743750338]
000013,-96.75635437142861,478.6729778254344,[326.5018231934751]
000014,-117.39685162168514,410.82489159113,[-103.02034756857881]
000015,-87.51046105960933,376.27811944309383,[228.96926290179664]
000016,-115.97252612938048,432.1052596682106,[-97.39010046476045]
000017,-137.7958871605039,426.7626169974606,[-97.2335861554505]
000018,-127.24028801801836,424.11384631356543,[-120.87609943451605]
000019,-128.66461351032302,402.8334782364849,[-80.45287961946161]
000020,-119.14554797461611,424.78731431027916,[-116.92132417307369]
000021,-128.9889843709493,438.0762690327146,[-84.00334617214554]
000022,-120.29488480900119,417.6377359515261,[-118.85130322173177]
000023,-128.38962485240344,416.9642679548124,[-119.21939865419677]
000024,-135.33502806142062,423.4403783168517,[-107.95913674992948]
000025,-124.05492062210604,419.0883965428575,[-122.35315148466219]
000026,-122.90558378772096,426.2379749016105,[-118.89463958274746]
000027,-127.01861458623281,419.2826946915119,[-121.89853527587934]
000028,-123.83324719032049,414.25724492080394,[-117.09212200220145]
000029,-126.3885278110939,421.64969596537503,[-122.5036807614984]
